label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
YES,0.0,0.0,0.0,-0.161857,-0.223272,-0.069838,-0.29217,-0.480866,-0.133779,-0.404043,-0.65094,-0.195698,-0.510622,-0.793106,-0.257423,0.02994,-0.64645,-0.140074,0.031909,-0.834012,-0.248384,-0.035494,-0.891369,-0.3273,-0.10878,-0.918288,-0.380675,0.089176,-0.539044,-0.16032,-0.08399,-0.622299,-0.265881,-0.24839,-0.617316,-0.323524,-0.36605,-0.592707,-0.368006,0.107628,-0.376622,-0.18878,-0.077548,-0.445333,-0.301285,-0.227013,-0.461304,-0.334323,-0.338562,-0.44466,-0.348553,0.110058,-0.204327,-0.219814,-0.041614,-0.302782,-0.326435,-0.159783,-0.348011,-0.355703,-0.256365,-0.367607,-0.363834
YES,0.0,0.0,0.0,-0.141562,-0.097765,-0.064441,-0.25523,-0.265945,-0.104443,-0.321099,-0.411601,-0.137615,-0.391844,-0.503537,-0.171097,-0.139795,-0.48855,-0.067543,-0.154533,-0.681757,-0.122556,-0.162807,-0.818476,-0.170053,-0.169287,-0.931935,-0.204381,-0.056996,-0.506997,-0.073423,-0.039124,-0.721235,-0.122415,-0.033669,-0.86489,-0.160569,-0.025531,-0.982068,-0.186792,0.012389,-0.48497,-0.087335,0.025538,-0.686084,-0.134601,0.034698,-0.817006,-0.15994,0.046932,-0.920306,-0.176207,0.071532,-0.428563,-0.107409,0.091842,-0.576367,-0.142312,0.101043,-0.668585,-0.149669,0.111627,-0.747212,-0.15357
YES,0.0,0.0,0.0,-0.126458,-0.164109,-0.030825,-0.225067,-0.33757,-0.049785,-0.288119,-0.468351,-0.07438,-0.349508,-0.563013,-0.100102,-0.106971,-0.596156,0.020857,-0.138293,-0.768061,-0.014342,-0.152021,-0.866748,-0.058095,-0.155963,-0.96191,-0.09222,-0.015198,-0.609985,0.001675,-0.013214,-0.814768,-0.020073,-0.011799,-0.917645,-0.048899,-0.008276,-0.997285,-0.073175,0.066883,-0.576212,-0.029266,0.069799,-0.773701,-0.053072,0.069033,-0.881295,-0.066306,0.065716,-0.96563,-0.077686,0.140739,-0.503015,-0.066937,0.169087,-0.647071,-0.081199,0.186714,-0.73313,-0.079622,0.197081,-0.812857,-0.080467
YES,0.0,0.0,0.0,-0.142959,-0.112305,-0.036481,-0.257417,-0.265535,-0.052584,-0.326095,-0.409436,-0.072579,-0.392371,-0.506362,-0.09204,-0.164509,-0.548237,0.019373,-0.199785,-0.734901,-0.007527,-0.211979,-0.839264,-0.042334,-0.216541,-0.93528,-0.069865,-0.073824,-0.582586,0.009721,-0.075492,-0.796974,-0.004418,-0.072747,-0.909436,-0.026515,-0.070318,-0.996428,-0.04677,0.011047,-0.569225,-0.011827,0.018083,-0.759044,-0.028044,0.018571,-0.86358,-0.042391,0.015212,-0.94667,-0.054342,0.09277,-0.518834,-0.040603,0.116571,-0.66297,-0.048594,0.126315,-0.752549,-0.049691,0.133647,-0.834231,-0.052587
YES,0.0,0.0,0.0,-0.149641,-0.09546,-0.057344,-0.267604,-0.231795,-0.093283,-0.341917,-0.36393,-0.127309,-0.403711,-0.463968,-0.160207,-0.160563,-0.517604,-0.037694,-0.199788,-0.711242,-0.076945,-0.215704,-0.829632,-0.115933,-0.223769,-0.935758,-0.145819,-0.067363,-0.544077,-0.042275,-0.064027,-0.751498,-0.069511,-0.059535,-0.882223,-0.098797,-0.053416,-0.99091,-0.123467,0.018909,-0.51796,-0.0569,0.032647,-0.712191,-0.084056,0.040149,-0.832073,-0.111169,0.044707,-0.93269,-0.132085,0.099375,-0.458983,-0.078504,0.133276,-0.610985,-0.100728,0.14916,-0.71077,-0.114756,0.16244,-0.803231,-0.125602
YES,0.0,0.0,0.0,-0.152894,-0.073923,-0.085,-0.267862,-0.211187,-0.145925,-0.347418,-0.34669,-0.199197,-0.426178,-0.455696,-0.254145,-0.140419,-0.447136,-0.112592,-0.16337,-0.651176,-0.179618,-0.174578,-0.784085,-0.231495,-0.176385,-0.904333,-0.268572,-0.035571,-0.463743,-0.113005,-0.02232,-0.687229,-0.16773,-0.013372,-0.836167,-0.210032,-0.000193,-0.970207,-0.242278,0.058042,-0.431107,-0.121734,0.083894,-0.644214,-0.172657,0.102133,-0.77515,-0.20738,0.115931,-0.892956,-0.231694,0.141457,-0.366019,-0.137411,0.184056,-0.530081,-0.181395,0.208377,-0.634103,-0.201674,0.225931,-0.729701,-0.214764
YES,0.0,0.0,0.0,-0.162118,-0.079005,-0.083536,-0.287653,-0.236042,-0.136109,-0.372925,-0.381547,-0.181926,-0.464145,-0.485378,-0.229694,-0.146937,-0.482895,-0.089566,-0.171346,-0.660807,-0.142626,-0.178585,-0.774581,-0.188646,-0.17393,-0.890914,-0.226708,-0.032763,-0.500991,-0.091849,-0.012916,-0.711711,-0.136127,0.002068,-0.845607,-0.176367,0.024232,-0.977108,-0.211357,0.065984,-0.459661,-0.103271,0.101931,-0.656034,-0.15119,0.123799,-0.779627,-0.186822,0.143054,-0.903726,-0.215206,0.152263,-0.378525,-0.122203,0.205383,-0.51447,-0.164552,0.24015,-0.603177,-0.185674,0.269195,-0.695442,-0.2032
YES,0.0,0.0,0.0,-0.155069,-0.07815,-0.077481,-0.276314,-0.23292,-0.126772,-0.358517,-0.374212,-0.170168,-0.444724,-0.476189,-0.215847,-0.142256,-0.480873,-0.085715,-0.16366,-0.659369,-0.13831,-0.170706,-0.777506,-0.183651,-0.167462,-0.893123,-0.220639,-0.030743,-0.49908,-0.090008,-0.006737,-0.715585,-0.131662,0.008561,-0.850681,-0.168715,0.027761,-0.979187,-0.201052,0.065955,-0.457874,-0.102999,0.102449,-0.658075,-0.147625,0.124103,-0.780816,-0.179187,0.141497,-0.901939,-0.204882,0.150913,-0.376527,-0.123234,0.203379,-0.513231,-0.163275,0.236175,-0.602443,-0.18164,0.262182,-0.69483,-0.196852
YES,0.0,0.0,0.0,-0.146948,-0.079255,-0.068926,-0.261486,-0.219887,-0.114388,-0.336604,-0.355289,-0.155055,-0.406302,-0.456086,-0.196707,-0.143722,-0.477069,-0.076673,-0.172876,-0.669456,-0.128768,-0.18438,-0.79325,-0.172875,-0.185551,-0.906257,-0.206235,-0.046963,-0.49937,-0.079331,-0.033643,-0.717176,-0.119481,-0.024122,-0.85905,-0.153776,-0.010647,-0.983312,-0.181616,0.041086,-0.466607,-0.090482,0.064131,-0.669288,-0.128702,0.078564,-0.795125,-0.158908,0.089683,-0.907001,-0.181805,0.119859,-0.39714,-0.108442,0.162132,-0.543832,-0.141268,0.185292,-0.638915,-0.158649,0.202711,-0.728802,-0.171593
YES,0.0,0.0,0.0,-0.156152,-0.094729,-0.044313,-0.271095,-0.245774,-0.068543,-0.33352,-0.382499,-0.093039,-0.395452,-0.477658,-0.118469,-0.158876,-0.505026,-0.02443,-0.196925,-0.694286,-0.059772,-0.210786,-0.813744,-0.095643,-0.216095,-0.923191,-0.124672,-0.06591,-0.529342,-0.035006,-0.062397,-0.741638,-0.064447,-0.055863,-0.876454,-0.096298,-0.046322,-0.991369,-0.122643,0.019444,-0.50365,-0.054296,0.030335,-0.698609,-0.084721,0.036771,-0.826292,-0.115007,0.041216,-0.936442,-0.13799,0.098807,-0.44309,-0.079048,0.125689,-0.593816,-0.103338,0.138489,-0.69753,-0.119023,0.150143,-0.793175,-0.131831
